,,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses
Commodity description,,Area of holding - Total area (ha) (a),"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)",Water source - Total volume of water from all sources (ML) (b),Water source - Water taken from on-farm dams or tanks - Total volume used (ML),"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)",Water use - Total application rate (ML/ha),Water use - Total area watered (ha),Water use - Total volume applied (ML),Area of holding - Total area (ha) (a),"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)",Water source - Total volume of water from all sources (ML) (b),Water source - Water taken from on-farm dams or tanks - Total volume used (ML),"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)",Water use - Total application rate (ML/ha),Water use - Total area watered (ha),Water use - Total volume applied (ML)
Region label,Year,,,,,,,,,,,,,,,,
Melton West,2020,569.93,,,,,,,,1.0,,,,,,,
Mentone,2020,0.16,,,,,,,,1.0,,,,,,,
Merbein,2020,11319.83,,15679.77,2.05,4619.31,6.05,2497.37,15110.15,104.0,,98.0,1.0,13.0,0.0,97.0,97.0
Merewether - The Junction,2020,351.93,,,,,,,,1.0,,,,,,,
Meridan Plains - Little Mountain (North),2020,384.81,,,,,,,,3.0,,,,,,,
Merimbula - Tura Beach,2020,61.47,,,,,,,,3.0,,,,,,,
Mernda - North,2020,268.76,,,,,,,,1.0,,,,,,,
Mernda - South,2020,35.81,,10.74,10.74,,0.36,29.84,10.74,1.0,,1.0,1.0,,0.0,1.0,1.0
Merredin,2020,945132.03,,107.07,82.36,,0.65,164.73,107.07,230.0,,2.0,1.0,,0.0,2.0,2.0
Miandetta - Don,2020,1452.09,400.0,716.2,101.14,65.07,1.65,435.05,716.2,9.0,1.0,3.0,2.0,1.0,0.0,3.0,3.0
Mickleham - Yuroke,2020,2606.86,5.3,76.91,13.26,58.35,3.1,24.8,76.91,5.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Mid North Coast,2011,585051.1,2247.1,14724.5,5359.5,5202.2,1.5,3362.9,14724.5,2661.0,442.0,2455.0,1534.0,1115.0,0.0,319.0,2455.0
Mid North Coast,2012,692846.7,1871.5,20193.9,4836.1,11268.1,2.6,5507.2,20193.9,2317.0,480.0,2235.0,1471.0,573.0,0.0,340.0,2235.0
Mid North Coast,2013,537594.0,5994.98,29921.85,6444.04,13738.72,2.23,10973.64,24420.69,2274.0,465.0,2103.0,1210.0,732.0,0.0,559.0,559.0
Mid North Coast,2014,664059.66,4509.92,30998.67,6850.51,15161.4,2.17,8507.26,18490.48,2238.0,581.0,2099.0,1098.0,859.0,0.0,428.0,428.0
Mid North Coast,2015,344392.74,2302.86,17733.49,3116.27,10923.48,2.73,4935.36,13466.89,1010.0,199.0,946.0,487.0,459.0,0.0,194.0,195.0
Mid North Coast,2016,327702.43,3281.6,18083.86,3417.48,9424.2,2.75,4586.46,12590.83,999.0,193.0,957.0,577.0,369.0,0.0,198.0,198.0
Mid North Coast,2017,314070.22,4678.14,23599.07,5584.47,12873.45,2.62,6385.24,16740.37,988.0,323.0,918.0,469.0,307.0,0.0,203.0,203.0
Mid North Coast,2018,399323.03,3610.02,26844.38,4526.47,17949.46,1.73,11827.56,20508.63,1329.0,263.0,1210.0,667.0,499.0,0.0,314.0,314.0
Mid North Coast,2019,367397.68,5290.46,16072.7,2609.21,7243.95,1.94,6995.4,13587.95,1187.0,133.0,618.0,295.0,222.0,0.0,282.0,282.0
Mid North Coast,2020,362809.82,3044.95,9149.0,1550.19,4463.65,1.98,4538.27,8987.09,1111.0,33.0,168.0,75.0,77.0,0.0,168.0,168.0
Middle Ridge,2020,651.97,103.59,103.59,,,2.0,51.8,103.59,2.0,1.0,1.0,,,0.0,1.0,1.0
Middle Swan - Herne Hill,2020,337.57,510.56,567.8,,57.25,2.63,197.13,517.58,25.0,18.0,19.0,,1.0,0.0,19.0,19.0
Mildura - North,2020,42183.63,,642.94,,322.52,1.99,321.86,641.73,9.0,,7.0,,3.0,0.0,7.0,7.0
Mildura - South,2020,4632.23,,5414.01,,8.19,6.32,866.46,5472.5,43.0,,40.0,,2.0,0.0,40.0,40.0
Mildura Surrounds,2020,826891.42,786.73,238328.33,,75193.52,8.33,28147.3,234445.45,334.0,5.0,78.0,,42.0,0.0,75.0,75.0
Miles - Wandoan,2020,1118765.81,,25300.52,7961.98,10071.75,4.67,5096.75,23822.89,328.0,,22.0,13.0,12.0,0.0,22.0,22.0
Millbank - Avoca,2020,29.94,,106.95,,,4.29,24.95,106.95,1.0,,1.0,,,0.0,1.0,1.0
Millicent,2020,27943.74,2087.1,2087.72,,,3.81,553.06,2106.61,57.0,4.0,5.0,,,0.0,5.0,5.0
Millmerran,2020,269349.84,8076.92,26697.9,10447.63,6950.16,2.75,9496.39,26147.45,150.0,20.0,29.0,17.0,6.0,0.0,29.0,29.0
Mittagong,2020,868.53,,,,,,,,7.0,,,,,,,
Moama,2020,21652.57,,4991.24,,1156.52,2.33,2036.08,4750.74,37.0,,14.0,,5.0,0.0,14.0,14.0
Moe - Newborough,2020,1168.06,,,,,,,,10.0,,,,,,,
Moira,2020,164945.05,4371.08,21935.41,60.33,2195.54,2.8,7505.16,21030.61,171.0,13.0,44.0,1.0,6.0,0.0,43.0,43.0
Molonglo Corridor,2020,1208.19,,,,,,,,3.0,,,,,,,
Mona Vale - Warriewood (North),2020,0.83,,10.1,,,4.97,0.83,4.13,1.0,,1.0,,,0.0,1.0,1.0
Monbulk - Silvan,2020,1226.81,262.21,1186.15,315.23,425.93,2.45,498.79,1222.13,105.0,43.0,87.0,49.0,29.0,0.0,87.0,87.0
Monterey - Brighton-le-Sands - Kyeemagh,2020,4.75,,7.41,6.37,,8.46,4.47,37.82,2.0,,2.0,1.0,,0.0,2.0,2.0
Montmorency - Briar Hill,2020,40.53,,,,,,,,2.0,,,,,,,
Monto - Eidsvold,2020,873404.94,11440.14,15253.65,,3326.86,2.52,5510.75,13894.57,313.0,61.0,73.0,,16.0,0.0,73.0,73.0
Montrose,2020,0.62,,0.18,0.18,,1.94,0.62,1.2,1.0,,1.0,1.0,,0.0,1.0,1.0
Moonta,2020,25845.86,,,,,,,,23.0,,,,,,,
Moora,2020,1088802.62,1078.88,1819.14,67.3,,2.45,742.01,1819.14,309.0,4.0,4.0,1.0,,0.0,4.0,4.0
Moorabbin - Heatherton,2020,57.64,62.69,145.01,18.09,31.26,2.09,50.46,105.37,12.0,5.0,8.0,1.0,2.0,0.0,8.0,8.0
Mooroolbark,2020,184.67,1.31,49.79,36.68,,2.45,20.79,50.97,3.0,1.0,2.0,1.0,,0.0,2.0,2.0
Mooroopna,2020,946.02,1282.54,1595.37,,,3.79,416.59,1578.59,8.0,2.0,7.0,,,0.0,7.0,7.0
Moranbah,2020,200853.88,,,,,,,,19.0,,,,,,,
Morawa,2020,1320259.69,12253.54,23468.22,9154.87,,2.47,9479.06,23434.78,312.0,8.0,10.0,3.0,,0.0,10.0,10.0
Morayfield,2020,436.84,0.46,438.62,58.9,,3.11,127.71,397.36,6.0,1.0,4.0,2.0,,0.0,4.0,4.0
Morayfield - East,2020,5.25,,3.94,,,1.2,3.28,3.94,1.0,,1.0,,,0.0,1.0,1.0
Moree,2020,90876.17,88.81,1210.71,38.06,1083.84,6.49,173.8,1128.24,29.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0
Moree Surrounds,2020,1948196.09,12233.86,136657.99,43742.31,69113.94,3.78,33517.25,126760.03,415.0,27.0,60.0,22.0,29.0,0.0,60.0,60.0
Moreton Bay - North,2012,153914.3,1217.7,8267.8,5180.2,1551.0,2.4,2941.5,8267.8,586.0,127.0,517.0,356.0,161.0,0.0,173.0,517.0
Moreton Bay - North,2013,183365.43,1971.33,9165.25,6025.33,799.48,2.62,2982.16,7806.98,484.0,153.0,425.0,293.0,122.0,0.0,197.0,197.0
Moreton Bay - North,2014,171298.0,1802.99,14331.21,7564.63,3163.29,2.63,4967.43,13050.73,418.0,100.0,384.0,301.0,187.0,0.0,175.0,175.0
Moreton Bay - North,2015,445145.41,2090.56,10293.49,6455.64,1048.3,3.88,2277.95,8840.82,353.0,107.0,329.0,233.0,115.0,0.0,141.0,141.0
Moreton Bay - North,2016,143267.94,637.88,9657.62,4606.04,1918.94,2.29,3219.98,7362.16,281.0,48.0,217.0,164.0,61.0,0.0,112.0,112.0
Moreton Bay - North,2017,180738.88,554.23,9083.66,5620.19,2723.59,2.62,2827.83,7422.31,292.0,99.0,266.0,193.0,104.0,0.0,144.0,144.0
Moreton Bay - North,2018,129029.32,1127.08,10454.18,7131.22,2173.69,2.77,3131.95,8660.76,330.0,87.0,284.0,200.0,89.0,0.0,126.0,126.0
Moreton Bay - North,2019,118348.77,215.4,10457.96,8540.93,901.61,3.93,2497.39,9803.5,306.0,34.0,200.0,157.0,37.0,0.0,156.0,156.0
Moreton Bay - North,2020,167461.15,2269.41,12947.8,8300.99,1353.49,4.69,2756.69,12937.61,349.0,31.0,124.0,88.0,23.0,0.0,124.0,124.0
Moreton Bay - South,2012,12526.5,10.4,549.3,262.6,272.0,4.1,96.1,549.3,156.0,11.0,131.0,108.0,89.0,0.0,11.0,131.0
Moreton Bay - South,2013,11139.65,15.24,333.34,309.4,7.17,1.59,116.98,186.32,92.0,33.0,91.0,79.0,13.0,0.0,12.0,12.0
Moreton Bay - South,2014,11299.78,18.41,688.66,545.02,125.24,1.95,223.34,436.58,105.0,24.0,105.0,97.0,17.0,0.0,19.0,19.0
Moreton Bay - South,2015,3578.94,70.01,230.23,142.5,9.4,1.77,98.08,173.85,38.0,16.0,34.0,19.0,9.0,0.0,9.0,9.0
Moreton Bay - South,2016,1639.41,74.86,81.63,1.75,4.02,0.1,66.17,6.77,20.0,16.0,20.0,1.0,2.0,0.0,4.0,4.0
Moreton Bay - South,2017,6121.24,44.93,73.29,4.2,2.57,0.65,48.24,31.36,49.0,37.0,45.0,6.0,1.0,0.0,10.0,10.0
Moreton Bay - South,2018,903.54,20.6,46.12,3.62,1.25,1.25,1.55,1.94,10.0,3.0,10.0,2.0,1.0,0.0,3.0,3.0
Moreton Bay - South,2019,1752.98,21.47,35.44,13.97,,0.02,32.16,0.54,19.0,3.0,19.0,16.0,,0.0,2.0,2.0
Moreton Bay - South,2020,3969.95,33.46,50.54,16.85,,2.17,27.77,60.33,38.0,3.0,6.0,5.0,,0.0,6.0,6.0
Moreton Bay-North,2011,198516.5,1173.8,7487.5,5758.0,440.3,2.5,2459.8,7487.5,525.0,157.0,486.0,375.0,114.0,0.0,159.0,486.0
Moreton Bay-South,2011,14706.8,4.9,891.0,260.3,592.9,4.7,163.8,891.0,144.0,27.0,142.0,100.0,26.0,0.0,36.0,142.0
Morisset - Cooranbong,2020,1359.53,,95.03,95.03,,6.99,14.57,101.81,15.0,,2.0,2.0,,0.0,2.0,2.0
Mornington - East,2020,127.99,,34.84,,27.2,3.34,8.15,27.2,3.0,,2.0,,1.0,0.0,1.0,1.0
Mornington Peninsula,2011,21351.2,2941.2,13596.6,5956.5,276.9,3.4,2221.3,13596.6,608.0,68.0,491.0,328.0,36.0,0.0,182.0,491.0
Mornington Peninsula,2012,31924.0,3280.7,11127.1,3696.8,397.0,2.6,3337.0,11127.1,564.0,113.0,461.0,306.0,62.0,0.0,142.0,461.0
Mornington Peninsula,2013,27268.91,2447.88,8057.14,3329.93,662.18,2.73,2584.74,7054.7,629.0,69.0,491.0,359.0,85.0,0.0,164.0,164.0
Mornington Peninsula,2014,16116.69,2927.51,9258.21,2978.75,519.42,2.89,2883.02,8324.84,421.0,76.0,399.0,262.0,59.0,0.0,182.0,182.0
Mornington Peninsula,2015,12654.24,2776.28,9544.07,4039.04,170.21,3.99,2189.91,8746.34,249.0,48.0,226.0,133.0,18.0,0.0,94.0,94.0
Mornington Peninsula,2016,21051.28,2275.0,10780.32,3807.24,885.29,2.21,3440.88,7617.63,343.0,46.0,291.0,202.0,5.0,0.0,120.0,120.0
Mornington Peninsula,2017,19299.51,2128.69,9041.92,2733.43,1285.58,2.79,2993.51,8339.57,269.0,13.0,244.0,135.0,57.0,0.0,115.0,115.0
Mornington Peninsula,2018,19603.71,3196.23,9654.24,2967.98,1516.35,3.29,2709.53,8918.11,334.0,25.0,300.0,246.0,26.0,0.0,166.0,166.0
Mornington Peninsula,2019,10904.91,3528.62,11397.0,4136.41,1696.37,4.29,2569.46,11035.69,242.0,23.0,174.0,111.0,31.0,0.0,131.0,131.0
Mornington Peninsula,2020,14498.6,3253.6,7943.67,2214.23,1169.84,3.75,2103.78,7881.28,295.0,31.0,110.0,75.0,16.0,0.0,109.0,109.0
Moruya - Tuross Head,2020,4747.33,,14.42,2.4,,2.0,7.21,14.42,17.0,,1.0,1.0,,0.0,1.0,1.0
Morwell,2020,10757.36,,,,,,,,9.0,,,,,,,
Mosman - South,2020,591.03,,,,,,,,1.0,,,,,,,
Moss Vale - Berrima,2020,2822.46,24.16,59.49,23.89,11.43,1.54,36.96,57.1,29.0,1.0,3.0,1.0,1.0,0.0,3.0,3.0
Mount Barker,2020,1748.3,371.47,1085.68,26.12,687.85,3.69,294.15,1085.68,15.0,5.0,7.0,2.0,2.0,0.0,7.0,7.0
Mount Barker Surrounds,2020,15313.97,817.45,917.0,86.62,10.6,2.44,328.05,801.03,82.0,19.0,22.0,7.0,1.0,0.0,22.0,22.0
Mount Baw Baw Region,2020,25552.99,23.49,658.49,36.63,535.18,1.95,337.42,657.59,179.0,1.0,11.0,2.0,8.0,0.0,11.0,11.0
Mount Coot-tha,2020,423.72,,,,,,,,1.0,,,,,,,
Mount Dandenong - Olinda,2020,310.11,25.37,104.16,23.21,23.95,2.15,55.42,118.91,27.0,3.0,19.0,12.0,3.0,0.0,19.0,19.0
Mount Eliza,2020,26.52,,,,,,,,1.0,,,,,,,
Mount Evelyn,2020,31.09,,4.85,0.65,,1.21,4.01,4.85,5.0,,2.0,1.0,,0.0,2.0,2.0
Mount Gambier - East,2020,3932.32,1227.25,1232.84,,,3.69,261.3,964.82,26.0,4.0,4.0,,,0.0,4.0,4.0
Mount Gambier - West,2020,27687.6,27.87,27.87,,,0.74,37.59,27.87,26.0,4.0,4.0,,,0.0,4.0,4.0
Mount Isa,2020,224217.98,,,,,,,,5.0,,,,,,,
Mount Isa Surrounds,2020,7710985.72,,,,,,,,70.0,,,,,,,
Mount Johns,2020,217277.0,,,,,,,,1.0,,,,,,,
Mount Martha,2020,2.55,,,,,,,,1.0,,,,,,,
Mount Morgan,2020,6951.71,,76.99,,76.99,9.71,7.93,76.99,9.0,,1.0,,1.0,0.0,1.0,1.0
Mount Nasura - Mount Richon - Bedfordale,2020,5.38,,4.42,3.32,1.11,0.0,0.0,5.64,3.0,,1.0,1.0,1.0,0.0,1.0,1.0
Mount Pleasant - Glenella,2020,2986.06,0.37,0.37,,,0.3,1.22,0.37,23.0,1.0,1.0,,,0.0,1.0,1.0
Moyne - East,2020,263424.95,10388.23,14215.51,1033.84,1958.97,2.8,4573.88,12823.65,544.0,51.0,68.0,12.0,12.0,0.0,68.0,68.0
Moyne - West,2020,153328.35,7691.62,8123.39,36.64,35.0,2.83,2701.14,7633.15,371.0,40.0,47.0,3.0,1.0,0.0,47.0,47.0
Mudgee,2020,10289.62,771.34,1083.48,2.1,308.71,2.98,322.74,961.75,29.0,7.0,13.0,1.0,6.0,0.0,13.0,13.0
Mudgee Surrounds - East,2020,86180.26,424.94,531.37,53.22,53.22,3.79,143.69,544.67,106.0,2.0,3.0,1.0,1.0,0.0,3.0,3.0
Mudgee Surrounds - West,2020,407320.71,1042.67,1518.49,49.59,391.19,1.62,812.01,1317.17,375.0,19.0,27.0,3.0,10.0,0.0,27.0,27.0
Mudgeeraba - Bonogin,2020,3.47,,4.62,0.58,2.31,2.22,2.08,4.62,2.0,,2.0,1.0,1.0,0.0,2.0,2.0
Mukinbudin,2020,1560021.89,108.03,108.03,,,12.86,8.4,108.03,280.0,1.0,1.0,,,0.0,1.0,1.0
Mulgoa - Luddenham - Orchard Hills,2020,1762.35,,80.37,78.92,,1.93,42.99,82.94,30.0,,12.0,12.0,,0.0,12.0,12.0
Mullumbimby,2020,4073.11,5.96,17.27,6.16,5.15,0.55,39.94,22.09,55.0,4.0,8.0,5.0,1.0,0.0,8.0,8.0
Mundaring,2020,44.66,11.5,25.21,13.71,,3.35,7.64,25.63,4.0,2.0,3.0,2.0,,0.0,3.0,3.0
Mundijong,2020,5023.91,326.48,332.85,0.53,0.55,6.56,55.28,362.35,44.0,13.0,15.0,1.0,1.0,0.0,15.0,15.0
Munno Para West - Angle Vale,2020,1997.7,1342.67,3383.83,17.0,15.74,6.15,519.91,3198.42,60.0,32.0,52.0,6.0,1.0,0.0,52.0,52.0
Munruben - Park Ridge South,2020,25.85,,15.38,15.38,,3.36,4.57,15.38,5.0,,2.0,2.0,,0.0,2.0,2.0
Murdoch - Kardinya,2020,0.0,,,,,,,,1.0,,,,,,,
Murray,2011,8691155.7,39300.2,1098781.1,15526.8,375285.2,4.3,248256.8,1098781.1,3343.0,822.0,2996.0,1042.0,1227.0,0.0,1589.0,2996.0
Murray,2012,7032972.5,77610.7,1562068.8,26358.0,381017.2,5.2,293381.1,1562068.8,3270.0,851.0,3043.0,1145.0,854.0,0.0,1448.0,3043.0
Murray,2013,7699407.68,51929.38,1246508.67,26405.45,302568.61,4.36,279479.34,1218045.26,2968.0,692.0,2660.0,838.0,733.0,0.0,1254.0,1254.0
Murray,2014,7533314.72,49824.3,1047380.95,22167.42,202763.01,4.23,240152.05,1015569.98,2966.0,501.0,2672.0,878.0,1089.0,0.0,1443.0,1443.0
Murray,2015,8357208.11,71969.21,680183.32,6241.62,240012.79,2.85,230140.99,655901.68,2387.0,600.0,2215.0,708.0,655.0,0.0,1121.0,1121.0
Murray,2016,8955433.61,40641.68,1094527.03,19171.89,331433.01,4.12,259441.12,1068341.79,2504.0,490.0,2340.0,842.0,600.0,0.0,1179.0,1179.0
Murray,2017,7843289.67,61686.52,1136062.65,14556.45,395281.11,4.07,272581.8,1110257.78,2407.0,530.0,2272.0,732.0,635.0,0.0,1191.0,1191.0
Murray,2018,7600498.57,105794.72,628772.97,15962.31,185544.99,2.93,205208.89,602059.84,2403.0,634.0,2241.0,590.0,529.0,0.0,1056.0,1056.0
Murray,2019,8317140.24,90948.87,323797.1,3550.57,113500.55,3.14,95259.68,298972.07,2325.0,379.0,1326.0,237.0,417.0,0.0,785.0,785.0
Murray,2020,4221782.585,67289.19,424352.955,2210.285,149790.555,3.2199999999999998,114847.435,406200.345,1186.0,143.0,527.5,16.0,176.5,0.0,526.0,526.0
Murray Bridge,2020,10700.34,,1442.06,1.3,1046.14,4.24,289.23,1226.07,26.0,,8.0,2.0,3.0,0.0,8.0,8.0
Murray Bridge Surrounds,2020,136577.41,1522.0,20521.07,1.19,15308.46,4.83,4137.45,19984.29,160.0,4.0,60.0,1.0,39.0,0.0,59.0,59.0
Murrumba Downs - Griffin,2020,355.49,,,,,,,,1.0,,,,,,,
Murwillumbah,2020,1576.76,,84.2,60.81,,5.29,15.9,84.2,12.0,,1.0,1.0,,0.0,1.0,1.0
Murwillumbah Surrounds,2020,16760.62,37.15,229.77,16.43,176.18,1.51,162.93,246.8,153.0,11.0,23.0,12.0,4.0,0.0,23.0,23.0
Muswellbrook,2020,17893.51,705.39,2656.32,,1950.94,5.24,506.85,2656.32,18.0,1.0,3.0,,3.0,0.0,3.0,3.0
Muswellbrook Surrounds,2020,105899.65,2947.86,13181.48,6.69,10167.45,1.94,6010.41,11655.3,128.0,25.0,48.0,1.0,36.0,0.0,48.0,48.0
Myrtleford,2020,21161.95,16.37,2480.4,80.97,2181.98,1.99,1231.28,2453.63,108.0,2.0,26.0,3.0,22.0,0.0,26.0,26.0
Nagambie,2020,63088.41,927.32,2948.76,202.8,1609.77,2.35,1130.5,2662.29,144.0,7.0,26.0,8.0,13.0,0.0,26.0,26.0
Nairne,2020,1252.82,610.6,1320.27,191.57,,8.85,150.61,1332.53,9.0,4.0,6.0,5.0,,0.0,6.0,6.0
Namadgi,2020,1331.52,,,,,,,,1.0,,,,,,,
Nambour,2020,32636.48,5.78,190.55,158.51,26.27,2.33,81.93,190.55,22.0,3.0,10.0,9.0,1.0,0.0,10.0,10.0
Nambucca Heads,2020,9.36,,,,,,,,1.0,,,,,,,
Nambucca Heads Surrounds,2020,16122.08,1.88,1142.54,561.91,559.47,1.29,897.18,1154.93,137.0,2.0,28.0,19.0,10.0,0.0,28.0,28.0
Nanango,2020,94754.81,4094.72,6504.23,174.7,1848.97,2.86,2177.66,6235.76,149.0,29.0,33.0,2.0,9.0,0.0,33.0,33.0
Naracoorte,2020,21227.96,1994.97,2275.54,,,4.04,563.15,2277.15,45.0,14.0,16.0,,,0.0,16.0,16.0
Naracoorte Surrounds,2020,355203.58,44673.48,45812.47,19.06,433.67,3.42,13149.8,44953.99,369.0,148.0,154.0,1.0,3.0,0.0,154.0,154.0
Narangba,2020,22.7,,21.13,19.81,1.32,4.1,5.15,21.13,2.0,,1.0,1.0,1.0,0.0,1.0,1.0
Narooma - Bermagui,2020,1562.07,,2.32,0.58,1.74,0.8,2.9,2.32,15.0,,2.0,1.0,1.0,0.0,2.0,2.0
Narrabri,2020,21835.99,1067.4,1386.3,,318.9,7.59,183.02,1389.17,30.0,3.0,3.0,,1.0,0.0,3.0,3.0
Narrabri Surrounds,2020,522958.19,45439.52,103161.28,14535.68,35108.2,4.23,23407.99,99128.58,281.0,55.0,72.0,23.0,32.0,0.0,72.0,72.0
Narrandera,2020,417458.16,12200.02,28771.36,144.96,12740.31,4.6,5939.32,27291.66,240.0,11.0,28.0,1.0,9.0,0.0,28.0,28.0
Narre Warren North,2020,307.52,,29.51,3.31,,2.95,10.0,29.51,10.0,,3.0,2.0,,0.0,3.0,3.0
Narre Warren South - East,2020,13.58,,28.52,27.17,,2.8,10.19,28.52,1.0,,1.0,1.0,,0.0,1.0,1.0
Narrogin,2020,45483.53,,,,,,,,35.0,,,,,,,
Narromine,2020,544071.25,25691.92,68319.08,2290.55,29181.15,5.8,10946.23,63489.29,318.0,39.0,66.0,8.0,24.0,0.0,66.0,66.0
Nerang - Mount Nathan,2020,17.35,12.18,26.62,,14.44,2.74,9.72,26.62,7.0,1.0,4.0,,3.0,0.0,4.0,4.0
New England and North West,2011,6869981.1,128070.8,661411.9,173445.3,301929.6,3.9,160716.0,661411.9,7050.0,3511.0,6446.0,4253.0,2639.0,0.0,995.0,6446.0
New England and North West,2012,6906996.5,147777.2,1002035.1,276486.1,456878.4,6.0,160745.1,1002035.1,6990.0,3489.0,6644.0,3878.0,2607.0,0.0,674.0,6644.0
New England and North West,2013,7025922.69,215497.76,1151626.4,333780.65,447206.76,6.51,170604.93,1110362.15,6789.0,3367.0,6457.0,4303.0,2091.0,0.0,1153.0,1153.0
New England and North West,2014,7211319.73,224353.69,501142.95,89960.79,160975.89,4.07,111996.09,455492.57,6465.0,3895.0,6096.0,3792.0,2311.0,0.0,1121.0,1121.0
New England and North West,2015,6890231.62,192577.23,474644.78,97957.98,166068.88,4.12,106070.1,437151.6,4470.0,2281.0,4116.0,2670.0,1595.0,0.0,514.0,514.0
New England and North West,2016,6598270.76,141479.37,956362.14,239323.46,505068.36,6.15,148262.01,911406.09,4495.0,2138.0,4137.0,2366.0,1715.0,0.0,543.0,543.0
New England and North West,2017,6170222.21,225931.14,943782.01,174898.51,501866.31,5.8,155784.08,903823.84,4261.0,2393.0,3954.0,2216.0,1418.0,0.0,457.0,457.0
New England and North West,2018,6510109.38,224346.66,448956.52,67724.35,139310.05,5.23,79581.87,416316.66,4430.0,2481.0,4104.0,2260.0,961.0,0.0,446.0,446.0
New England and North West,2019,6346358.56,168967.25,218866.98,10670.12,28355.95,3.41,52922.21,180635.45,4576.0,1093.0,1743.0,594.0,402.0,0.0,364.0,364.0
New England and North West,2020,6764883.46,113359.78,336177.33,62052.98,137517.64,3.35,93901.83,314337.25,4418.0,274.0,430.0,87.0,171.0,0.0,430.0,430.0
New Norfolk,2020,4.46,,6.7,,,2.0,3.35,6.7,1.0,,1.0,,,0.0,1.0,1.0
New South Wales,2011,60575590.4,365938.4,3750789.8,376593.3,1175024.7,4.5,785559.6,3750789.8,43971.0,13632.0,39344.0,25454.0,15367.0,0.0,8584.0,39344.0
New South Wales,2012,58848487.1,512922.6,5201862.6,534684.4,1536615.3,5.6,887199.9,5201862.6,42140.0,14840.0,39127.0,23086.0,11001.0,0.0,7583.0,39127.0
New South Wales,2013,58303111.88,631858.84,4505957.71,600016.86,1261342.94,5.15,834799.29,4295106.58,41157.0,13577.0,37195.0,21956.0,10286.0,0.0,8484.0,8484.0
New South Wales,2014,57398787.81,629549.32,3425831.48,272356.24,803324.16,4.56,700366.72,3196362.6,39887.0,15557.0,36059.0,21346.0,11042.0,0.0,8629.0,8629.0
New South Wales,2015,53438093.76,675474.15,2805346.11,228600.34,885242.82,3.91,668330.34,2610855.68,26124.0,9391.0,23956.0,13900.0,7808.0,0.0,5342.0,5340.0
New South Wales,2016,55413902.76,486318.53,4020281.45,414435.14,1386894.9,5.16,739795.39,3814556.19,26230.0,8995.0,24278.0,14081.0,7342.0,0.0,5573.0,5573.0
New South Wales,2017,52375864.94,689786.07,4125651.45,315624.98,1422911.44,5.03,784804.98,3949590.92,25271.0,9171.0,23417.0,12323.0,6813.0,0.0,5232.0,5232.0
New South Wales,2018,52333649.98,806124.09,2688034.07,157861.34,798128.48,3.98,627314.35,2493627.27,26999.0,10234.0,24576.0,12775.0,6560.0,0.0,5372.0,5372.0
New South Wales,2019,51279789.72,662881.76,1410463.68,50177.24,310922.6,3.51,365425.24,1280943.85,26559.0,4798.0,12016.0,4766.0,3150.0,0.0,4663.0,4663.0
New South Wales,2020,53822773.8,474422.64,2832235.09,139495.26,886694.92,4.12,657692.56,2707354.57,26521.0,1262.0,4845.0,1118.0,1541.0,0.0,4826.0,4826.0
Newcastle and Lake Macquarie,2011,8293.8,,326.7,94.2,39.1,3.6,32.1,326.7,111.0,,110.0,98.0,1.0,0.0,64.0,110.0
Newcastle and Lake Macquarie,2012,2218.3,,7146.3,239.5,352.0,3.9,55.9,7146.3,90.0,,85.0,34.0,42.0,0.0,36.0,85.0
Newcastle and Lake Macquarie,2013,2354.96,,3013.52,16.3,61.83,1.42,3.72,5.28,65.0,,15.0,7.0,4.0,0.0,5.0,5.0
Newcastle and Lake Macquarie,2014,1966.2,,2433.57,109.27,2.5,6.49,17.1,110.98,59.0,,50.0,15.0,17.0,0.0,9.0,9.0
Newcastle and Lake Macquarie,2015,2509.29,14.38,169.46,114.55,1.72,0.96,120.79,115.69,31.0,4.0,28.0,16.0,3.0,0.0,13.0,13.0
Newcastle and Lake Macquarie,2016,93.26,,110.07,91.88,11.0,3.63,24.26,88.0,5.0,,5.0,5.0,1.0,0.0,3.0,3.0
Newcastle and Lake Macquarie,2017,228.22,80.0,141.49,15.06,16.82,3.51,25.15,88.24,15.0,1.0,15.0,8.0,1.0,0.0,8.0,8.0
Newcastle and Lake Macquarie,2018,301.88,4.0,151.83,93.91,,7.6,11.27,85.63,48.0,1.0,23.0,13.0,,0.0,7.0,7.0
Newcastle and Lake Macquarie,2019,269.85,,120.19,101.15,5.0,8.03,10.92,87.7,22.0,,12.0,5.0,1.0,0.0,4.0,4.0
Newcastle and Lake Macquarie,2020,2984.06,,96.54,96.54,,3.93,26.19,102.98,29.0,,3.0,3.0,,0.0,3.0,3.0
