,,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses
Commodity description,,Area of holding - Total area (ha) (a),"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)",Water source - Total volume of water from all sources (ML) (b),Water source - Water taken from on-farm dams or tanks - Total volume used (ML),"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)",Water use - Total application rate (ML/ha),Water use - Total area watered (ha),Water use - Total volume applied (ML),Area of holding - Total area (ha) (a),"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)",Water source - Total volume of water from all sources (ML) (b),Water source - Water taken from on-farm dams or tanks - Total volume used (ML),"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)",Water use - Total application rate (ML/ha),Water use - Total area watered (ha),Water use - Total volume applied (ML)
Region label,Year,,,,,,,,,,,,,,,,
Austral - Greendale,2020,2287.64,,3957.61,2421.38,60.6,8.36,426.1,3563.07,143.0,,90.0,49.0,7.0,0.0,86.0,86.0
Australia,2011,405473623.0,1589140.1,9006573.4,1314512.5,2405046.0,3.8,2141303.4,9006573.4,135691.0,46781.0,119701.0,69087.0,33487.0,0.0,34911.0,119701.0
Australia,2012,396615288.4,1855855.1,11928733.2,1755928.6,2938177.6,4.7,2377959.1,11928733.2,128916.0,49180.0,117600.0,62737.0,26940.0,0.0,30629.0,117600.0
Australia,2013,406269028.3,2087652.57,11561853.24,1857727.11,2979772.35,4.54,2361254.44,10730882.45,128489.0,46826.0,114607.0,63578.0,25574.0,0.0,36154.0,36154.0
Australia,2014,384557865.4,2108225.08,9779856.35,1163904.04,2071831.51,4.16,2149109.69,8950297.71,123090.0,47742.0,110177.0,59407.0,27529.0,0.0,36533.0,36533.0
Australia,2015,371078256.6,2357163.54,9157291.28,980132.95,2412456.36,3.9,2147915.02,8381398.97,85680.0,33318.0,77456.0,40130.0,19445.0,0.0,22690.0,22689.0
Australia,2016,393797177.1,1819519.45,9968998.27,1324044.68,2898941.2,4.06,2243656.32,9103759.03,88073.0,34002.0,79950.0,41828.0,18206.0,0.0,22102.0,22102.0
Australia,2017,378081996.3,2156384.66,10491252.68,1165686.92,3005301.81,4.24,2298173.89,9734181.82,85483.0,33041.0,77534.0,38276.0,16720.0,0.0,22470.0,22470.0
Australia,2018,383801493.2,2280404.37,7965080.69,759565.46,2013121.96,3.68,1954788.81,7187660.21,89440.0,35162.0,79989.0,39144.0,16251.0,0.0,21927.0,21927.0
Australia,2019,377002256.3,2104030.92,6464546.16,541492.59,1406309.91,3.72,1520939.6,5661146.86,87779.0,20776.0,48904.0,20270.0,9391.0,0.0,20732.0,20732.0
Australia,2020,387264588.8,1748102.97,8091271.25,616865.48,2184901.18,4.0,1944870.57,7774032.51,87402.0,7329.0,20774.0,5262.0,4994.0,0.0,20725.0,20725.0
Australian Capital Territory,2011,37341.7,25.0,440.7,168.5,223.4,2.1,59.6,440.7,70.0,15.0,63.0,44.0,34.0,0.0,8.0,63.0
Australian Capital Territory,2012,39455.8,71.0,450.8,116.2,259.7,1.5,49.4,450.8,70.0,9.0,66.0,51.0,23.0,0.0,8.0,66.0
Australian Capital Territory,2013,34229.82,57.52,439.94,158.35,185.29,1.3,159.2,206.5,61.0,17.0,54.0,44.0,26.0,0.0,12.0,12.0
Australian Capital Territory,2014,34859.64,43.62,327.04,183.0,92.84,1.98,49.83,98.83,60.0,13.0,59.0,48.0,13.0,0.0,8.0,8.0
Australian Capital Territory,2015,25447.81,19.21,346.87,151.86,138.79,0.35,276.7,96.67,39.0,15.0,39.0,32.0,11.0,0.0,5.0,5.0
Australian Capital Territory,2016,24970.82,28.24,510.66,380.34,90.5,0.0,0.0,0.0,36.0,6.0,35.0,28.0,17.0,0.0,4.0,4.0
Australian Capital Territory,2017,25299.05,74.12,379.84,150.82,144.79,2.21,74.11,163.65,42.0,5.0,40.0,25.0,15.0,0.0,6.0,6.0
Australian Capital Territory,2018,23625.0,58.49,299.17,130.22,94.07,3.59,43.48,155.95,42.0,12.0,41.0,22.0,11.0,0.0,7.0,7.0
Australian Capital Territory,2019,23029.65,56.31,300.89,132.58,103.45,0.0,0.0,0.0,40.0,6.0,25.0,13.0,7.0,0.0,7.0,7.0
Australian Capital Territory,2020,20869.06,9.36,0.0,,0.0,0.0,22.75,0.0,43.0,2.0,4.0,,2.0,0.0,4.0,4.0
Avoca,2020,110461.39,283.74,677.29,338.77,,0.99,482.93,477.35,170.0,5.0,17.0,13.0,,0.0,16.0,16.0
Ayr,2020,23352.83,17422.73,42742.54,186.47,2588.57,7.23,6011.22,43470.76,54.0,50.0,55.0,2.0,5.0,0.0,54.0,54.0
